,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
59,Javelin throw,67.32,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Vladimir Sokoli,67.32
60,4 × 100 m relay,41.48,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,AlbaniaArben ParmezaArben MakajOltjon LuliSokol Shepeteja,41.48
61,4 × 400 m relay,03:17.3,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,AlbaniaMarko MakajEdison MucoEdmond MuratajEraldo Qerama,197.3
62,100 m,11.67,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodiana Shala,11.67
63,200 m,23.27,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodiana Shala,23.27
64,400 m,52.86,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodiana Shala,52.86
65,800 m,02:01.3,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Luiza Gega,121.3
66,1500 m,04:02.6,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Luiza Gega,242.6
67,3000 m,08:53.8,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Luiza Gega,533.8
68,5000 m,15:36.6,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Luiza Gega,936.6
69,10000 m,32:31.7,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Luiza Gega,1951.7
70,Half marathon,1:13:11,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Luiza Gega,4391.0
71,Marathon,2:35:34,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Luiza Gega,9334.0
72,100 m hurdles,14.18,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Anila Meta,14.18
73,400 m hurdles,56.48,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodiana Shala,56.48
74,3000 m steeplechase,09:19.9,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Luiza Gega,559.9
75,High jump,1.92,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodeta Gjini,1.92
76,Pole vault,2.6,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Alma Dhespollari,2.6
77,Long jump,6.53,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Vera Bregu-Bitanji,6.53
78,Triple jump,13.5,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Vera Bregu-Bitanji,13.5
79,Shot put,16.36,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Antoneta Koci,16.36
80,Discus throw,55.58,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Silvana Rukaj,55.58
81,Hammer throw,59.26,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Emiliana Ciko,59.26
82,Javelin throw,47.8,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Zhuje Bajko,47.8
83,4 × 100 m relay,47.16,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,AlbaniaArbana XhaniValbona SinaAdriana VejkollariVera Bregu-Bitanji,47.16
84,4 × 400 m relay,03:39.4,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,AlbaniaArbana XhaniValbona SinaAdriana VejkollariRajmonda Bistika-Simo,219.4
85,100 m,10.81,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Kelsey Nakanelua,10.81
86,200 m,22.43,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Faresa Kapisi,22.43
87,400 m,49.45,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Kelsey Nakanelua,49.45
88,800 m,02:01.3,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Afutolu Lefiaseu,121.3
89,1500 m,04:19.6,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Jezmond Papu,259.6
90,3000 m,10:52.6,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Afutolu Lefiaseu,652.6
91,5000 m,16:32.4,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,John Wasco,992.4
92,10000 m,34:28.0,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Sailala Solilai,2068.0
93,Half marathon,1:43:17,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Franklin Paaga,6197.0
94,Marathon,2:25:35,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Gary Fanelli,8735.0
95,110 m hurdles,15.42,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Aaron Victorian,15.42
96,3000 m steeplechase,12:00.6,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Franklin Paaga,720.6
97,High jump,1.89,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Aaron Victorian,1.89
98,Pole vault,5.41,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Makisi Haleck,5.41
99,Long jump,6.9,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Sa Fuimaono,6.9
100,Triple jump,13.75,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Sa Fuimaono,13.75
101,Shot put,15.09,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Danny Pritchard,15.09
102,Discus throw,50.17,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Frederick Morgan,50.17
103,Hammer throw,39.4,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Taulagi Sualevai,39.4
104,Javelin throw,67.4,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Frederick Morgan,67.4
105,100 m,13.39,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Lila Waetin,13.39
106,200 m,28.72,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Tafailagi Niusulu,28.72
107,400 m,01:07.1,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Afega Fetaiai,67.1
108,800 m,02:39.1,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Paula Stevenson,159.1
109,1500 m,05:33.8,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Paula Stevenson,333.8
