,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
494,400 m,44.63s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Male,BB,BRB,52.0,Jonathan Jones,44.63
501,110 m hurdles,13.14s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Male,BB,BRB,52.0,Ryan Brathwaite,13.14
502,400 m hurdles,49.21s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Male,BB,BRB,52.0,Victor Houston,49.21
514,100 m,11.26s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Female,BB,BRB,52.0,Shakera Reece,11.26
515,200 m,22.61s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Female,BB,BRB,52.0,Sada Williams,22.61
516,400 m,51.04s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Female,BB,BRB,52.0,Lorna Forde,51.04
523,100 m hurdles,12.88s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Female,BB,BRB,52.0,Kierre Beckles,12.88
524,400 m hurdles,53.36s,Barbados,Americas,https://en.wikipedia.org/wiki/List_of_Barbadian_records_in_athletics,BB,13.193887,-59.543198,Female,BB,BRB,52.0,Andrea Blackett,53.36
534,100 m,10.27s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Male,BY,BLR,112.0,Sergey Kornelyuk,10.27
535,200 m,20.63s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Male,BY,BLR,112.0,Aliaksandr Starovoitov,20.63
536,400 m,45.43s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Male,BY,BLR,112.0,Aliaksandr Linnik,45.43
544,110 m hurdles,13.41s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Male,BY,BLR,112.0,Viktor Myasnikov,13.41
545,400 m hurdles,47.92s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Male,BY,BLR,112.0,Aleksandr Vasilyev,47.92
555,100 m,10.92s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Female,BY,BLR,112.0,Yulia Nestsiarenka,10.92
556,200 m,22.68s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Female,BY,BLR,112.0,Natalya Safronnikova,22.68
557,400 m,50.31s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Female,BY,BLR,112.0,Ilona Usovich,50.31
565,100 m hurdles,12.41s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Female,BY,BLR,112.0,Alina Talay,12.41
566,400 m hurdles,53.11s,Belarus,Europe,https://en.wikipedia.org/wiki/List_of_Belarusian_records_in_athletics,BY,53.709807,27.953389,Female,BY,BLR,112.0,Tatyana Ledovskaya,53.11
576,100 m,10.02s,Belgium,Europe,https://en.wikipedia.org/wiki/List_of_Belgian_records_in_athletics,BE,50.503887,4.469936,Male,BE,BEL,56.0,Ronald Desruelles,10.02
577,200 m,20.19s,Belgium,Europe,https://en.wikipedia.org/wiki/List_of_Belgian_records_in_athletics,BE,50.503887,4.469936,Male,BE,BEL,56.0,Patrick Stevens,20.19
578,400 m,44.43s,Belgium,Europe,https://en.wikipedia.org/wiki/List_of_Belgian_records_in_athletics,BE,50.503887,4.469936,Male,BE,BEL,56.0,Jonathan Borlée,44.43
586,110 m hurdles,13.25s,Belgium,Europe,https://en.wikipedia.org/wiki/List_of_Belgian_records_in_athletics,BE,50.503887,4.469936,Male,BE,BEL,56.0,Jonathan N'Senga,13.25
